Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.
Iteration 157, Error: 0.007376796631686222
Iteration 158, Error: 0.007372480858228503
Iteration 159, Error: 0.007365643780679942
Iteration 160, Error: 0.007361137691481279
Iteration 161, Error: 0.007354149068351745
Iteration 162, Error: 0.007349452021979452
Iteration 163, Error: 0.00734286114080529
Iteration 164, Error: 0.007337430147717594
Iteration 165, Error: 0.007333074096373959
Iteration 166, Error: 0.007326265907826812
Iteration 167, Error: 0.007322946924916085
Iteration 168, Error: 0.007315897582469422
Iteration 169, Error: 0.007312485030411153
Iteration 170, Error: 0.0073051962971324436
Iteration 171, Error: 0.007301693855311875
Iteration 172, Error: 0.007294167602065915
Iteration 173, Error: 0.007290578876088638
Iteration 174, Error: 0.007283182371939034
Iteration 175, Error: 0.007279145598718451
Iteration 176, Error: 0.007272584039288876
Iteration 177, Error: 0.007268136032096084
Iteration 178, Error: 0.00726176161213532
Iteration 179, Error: 0.007257041748038429
Iteration 180, Error: 0.007252703890629597
Iteration 181, Error: 0.007246130196831402
Iteration 182, Error: 0.007243333197082702
Iteration 183, Error: 0.007236534734095468
Iteration 184, Error: 0.007233654439085857
Iteration 185, Error: 0.00722663309423055
Iteration 186, Error: 0.00722367254899936
Iteration 187, Error: 0.007216430298390808
Iteration 188, Error: 0.0072133924801001115
Iteration 189, Error: 0.007205931386391473
Iteration 190, Error: 0.007202819202779764
Iteration 191, Error: 0.007195141412712491
Iteration 192, Error: 0.007191957700806384
Iteration 193, Error: 0.007184065442578991
Iteration 194, Error: 0.007180812967658046
Iteration 195, Error: 0.007174122515617221
Iteration 196, Error: 0.007169390002973675
Iteration 197, Error: 0.007165450640664872
Iteration 198, Error: 0.007158898388564872
Iteration 199, Error: 0.007156494906007005
Iteration 200, Error: 0.007149735867510998
Iteration 201, Error: 0.007147259756217217
Iteration 202, Error: 0.007140295927195783
Iteration 203, Error: 0.007137749647729397
Iteration 204, Error: 0.007130583092648468
Iteration 205, Error: 0.0071279690457912714
Iteration 206, Error: 0.007120601895219902
Iteration 207, Error: 0.007117922421489009
Iteration 208, Error: 0.007110356869538315
Iteration 209, Error: 0.007107614248863747
Iteration 210, Error: 0.0070998525505667764
Iteration 211, Error: 0.0070970490021409205
Iteration 212, Error: 0.007090112179662267
Iteration 213, Error: 0.007086231153027978
Iteration 214, Error: 0.007080855558360799
Iteration 215, Error: 0.0070761994712764675
Iteration 216, Error: 0.007071609007022861
Iteration 217, Error: 0.007066610919487459
Iteration 218, Error: 0.007062809537648818
Iteration 219, Error: 0.007056770328991213
Iteration 220, Error: 0.007053760200005588
Iteration 221, Error: 0.007046698246308214
Iteration 222, Error: 0.007044464993605448
Iteration 223, Error: 0.007037219755954727
Iteration 224, Error: 0.007034927916883316
Iteration 225, Error: 0.0070275015496310544
Iteration 226, Error: 0.007025152965048687
Iteration 227, Error: 0.007017547667017787
Iteration 228, Error: 0.007015144128002415
Iteration 229, Error: 0.007007697840146765
Iteration 230, Error: 0.007004905388340976
Iteration 231, Error: 0.006998873731241861
Iteration 232, Error: 0.006994677542944583
Iteration 233, Error: 0.006989813703377479
Iteration 234, Error: 0.006985555763407536
Iteration 235, Error: 0.006980521529523553
Iteration 236, Error: 0.006976204463895019
Iteration 237, Error: 0.006971000982382236
Iteration 238, Error: 0.00696662735326159
Iteration 239, Error: 0.006961990327562173
Iteration 240, Error: 0.006956828137814064
Iteration 241, Error: 0.006952945215094708
Iteration 242, Error: 0.006946810519403268
Iteration 243, Error: 0.006943683282937485
Iteration 244, Error: 0.00693657819359661
Iteration 245, Error: 0.006934208077541637
Iteration 246, Error: 0.00692662097721497
Iteration 247, Error: 0.006924523135781069
Iteration 248, Error: 0.006917274512354243
Iteration 249, Error: 0.006914631983523378
Iteration 250, Error: 0.0069086618202245376
Iteration 251, Error: 0.0069048375111511184
Iteration 252, Error: 0.006899837606790804
